PERMNO,date,TICKER,COMNAM,PERMCO,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,OPENPRC,NUMTRD,RETX
11308,12/28/1992,KO,COCA COLA CO,20468,43.375,43.75,43.5,696800,0,43.5,43.625,1313876,43.625,,0
11308,12/29/1992,KO,COCA COLA CO,20468,43,44.5,43,1485000,-0.011494,43,43.25,1313876,43.625,,-0.011494
11308,12/30/1992,KO,COCA COLA CO,20468,42.625,43.375,42.75,959900,-0.005814,42.75,42.875,1313876,43.25,,-0.005814
11308,12/31/1992,KO,COCA COLA CO,20468,41.875,43,41.875,929100,-0.020468,41.75,42,1309905,42.875,,-0.020468
11308,1/4/1993,KO,COCA COLA CO,20468,41.75,42.375,42,1399900,0.002985,41.875,42.125,1309905,42,,0.002985
11308,1/5/1993,KO,COCA COLA CO,20468,41,42.125,41.125,1325800,-0.020833,41.125,41.375,1309905,42,,-0.020833
11308,1/6/1993,KO,COCA COLA CO,20468,41.125,41.5,41.375,1283400,0.006079,41.25,41.5,1309905,41.125,,0.006079
11308,1/7/1993,KO,COCA COLA CO,20468,40.25,41.875,40.625,1574000,-0.018127,40.625,40.875,1309905,41.5,,-0.018127
11308,1/8/1993,KO,COCA COLA CO,20468,40.125,40.75,40.25,1294700,-0.009231,40.25,40.5,1309905,40.375,,-0.009231
11308,1/11/1993,KO,COCA COLA CO,20468,40,40.875,40.75,1055800,0.012422,40.75,40.875,1309905,40,,0.012422
11308,1/12/1993,KO,COCA COLA CO,20468,40.375,41.25,41,951900,0.006135,40.875,41,1309905,41.125,,0.006135
11308,1/13/1993,KO,COCA COLA CO,20468,40.625,41.5,41.375,1208700,0.009146,41.375,41.5,1309905,41,,0.009146
11308,1/14/1993,KO,COCA COLA CO,20468,42.125,43.25,43.25,2466700,0.045317,43,43.25,1309905,42.25,,0.045317
11308,1/15/1993,KO,COCA COLA CO,20468,43.125,44.125,43.25,3058100,0,43.25,43.375,1309905,43.375,,0
11308,1/18/1993,KO,COCA COLA CO,20468,42.625,43.25,43.125,999200,-0.00289,43,43.125,1309905,43,,-0.00289
11308,1/19/1993,KO,COCA COLA CO,20468,42,42.875,42,1746100,-0.026087,42,42.125,1309905,42.75,,-0.026087
